"","la","urn","school","school_description","adm_policy","num_pupils","perc_boys","perc_girls","perc_fsm","perc_sec_lang","perc_sen","att8","att8_eng","att8_maths","att8_fsm","att8_nonfsm","school_type","gender","att8_17"
"2068",857,136629,"Uppingham Community College","ACC","NSE",194,54,46,5,2,14,50.1,11,9.8,38.6,50.7,"State School","Mixed",53.1
"2069",857,137340,"Casterton College Rutland","ACC","NSE",138,45,55,16,3,24,54.2,11,11.5,46.9,55.6,"State School","Mixed",51.7
"2070",857,136530,"Catmose College","ACC","NSE",174,43,58,10,3,10,50.4,10.8,9.8,42.2,51.3,"State School","Mixed",52.8
"2071",857,134938,"Wilds Lodge School","INDSPEC",NA,12,100,0,NA,NA,NA,14.7,0,5.8,NA,NA,"Special School","Boys",9
"2072",860,137100,"The Hart School","AC","NSE",182,48,52,28,1,12,45.7,8.4,8.5,39.6,48,"State School","Mixed",40.1
"2073",860,137146,"Landau Forte Academy, QEMS","AC","NSE",112,48,52,22,8,13,39.1,8.3,7,31.9,41.2,"State School","Mixed",41
"2074",860,137164,"Staffordshire University Academy","AC","NSE",114,48,52,39,1,14,36.2,8.3,6.3,31.8,39,"State School","Mixed",37.6
"2075",860,138435,"Tamworth Enterprise College and AET Academy","AC","NSE",137,48,52,35,2,7,38.5,8.4,7.2,36.2,39.8,"State School","Mixed",37.6
"2076",860,138351,"The Rural Enterprise Academy","F","NSE",48,33,67,27,0,27,44.2,8.4,8,38.3,46.4,"State School","Mixed",41.3
"2077",860,141342,"Kinver High School and Sixth Form","AC","NSE",101,54,47,15,0,18,47.6,10.4,9.2,35.4,49.7,"State School","Mixed",48.9
"2078",860,141343,"Wombourne High School","AC","NSE",146,58,43,14,0,5,47.9,10.3,9.2,35.9,49.8,"State School","Mixed",47
"2079",860,141700,"The King's CofE (VA) School","VA",NA,72,47,53,33,3,13,44,10.1,8.3,40.4,45.9,"State School","Mixed",40.9
"2080",860,142015,"Wolstanton High Academy","AC","NSE",168,49,51,23,3,14,37.5,8.8,6.8,30.7,39.5,"State School","Mixed",41.2
"2081",860,144988,"Great Wyrley Academy","AC","NSE",128,63,37,34,0,15,38.3,8.2,7.4,30.1,42.6,"State School","Mixed",NA
