"convo_id","message_from","created_at"
40,"user",2020-07-21 13:31:56
40,"user",2020-07-21 13:32:17
40,"user",2020-07-21 13:32:27
40,"user",2020-07-21 13:32:49
40,"admin",2020-07-21 13:33:57
40,"admin",2020-07-21 13:34:38
40,"admin",2020-07-21 13:35:06
40,"user",2020-07-21 13:35:17
40,"admin",2020-07-21 13:36:19
40,"user",2020-07-21 13:36:38
40,"user",2020-07-21 13:37:57
40,"admin",2020-07-21 13:41:28
40,"user",2020-07-21 13:43:27
40,"admin",2020-07-21 13:47:10
40,"user",2020-07-21 13:47:34
40,"admin",2020-07-21 13:48:54
40,"user",2020-07-21 13:49:08
40,"admin",2020-07-21 14:51:11
40,"admin",2020-07-21 14:51:35
40,"admin",2020-07-21 15:17:51
40,"user",2020-07-21 22:25:54
40,"admin",2020-07-21 22:25:55
40,"user",2020-07-21 22:26:22
40,"user",2020-07-21 22:26:29
40,"user",2020-07-21 22:26:49
40,"user",2020-07-21 22:27:11
40,"user",2020-07-21 22:30:46
40,"admin",2020-07-22 00:17:49
40,"admin",2020-07-22 00:17:52
40,"admin",2020-07-22 09:33:33
40,"admin",2020-07-22 21:20:06
41,"user",2020-07-21 13:55:54
41,"user",2020-07-21 13:59:16
41,"user",2020-07-21 13:59:29
41,"admin",2020-07-21 13:59:45
41,"user",2020-07-21 14:01:21
41,"admin",2020-07-21 14:02:30
41,"user",2020-07-21 14:10:15
41,"admin",2020-07-21 14:13:01
41,"admin",2020-07-21 14:13:55
41,"admin",2020-07-22 13:05:29
41,"admin",2020-07-23 13:04:11
42,"user",2020-07-21 14:20:06
42,"user",2020-07-21 14:22:51
42,"admin",2020-07-21 15:05:00
42,"admin",2020-07-21 15:05:03
43,"user",2020-07-21 14:33:20
44,"user",2020-07-21 14:51:49
44,"user",2020-07-21 14:51:57
44,"user",2020-07-21 14:52:33
44,"user",2020-07-21 14:53:07
44,"admin",2020-07-21 16:12:54
44,"user",2020-07-21 16:13:24
44,"user",2020-07-21 16:16:09
44,"admin",2020-07-21 16:29:25
44,"user",2020-07-21 16:30:15
44,"user",2020-07-21 16:30:17
44,"admin",2020-07-21 16:40:18
44,"user",2020-07-21 16:59:18
44,"admin",2020-07-21 17:04:54
44,"user",2020-07-21 17:05:30
44,"admin",2020-07-21 17:05:30
44,"user",2020-07-21 17:05:44
44,"user",2020-07-21 17:06:51
44,"admin",2020-07-21 17:09:08
44,"admin",2020-07-21 17:09:13
44,"admin",2020-07-21 17:09:40
44,"user",2020-07-21 17:10:07
44,"admin",2020-07-21 17:10:13
44,"admin",2020-07-21 17:10:25
44,"user",2020-07-21 17:10:35
44,"admin",2020-07-21 17:19:52
44,"admin",2020-07-21 17:30:56
45,"lead",2020-07-21 14:51:55
45,"admin",2020-07-21 14:55:36
45,"admin",2020-07-21 14:55:58
45,"admin",2020-07-22 13:05:59
45,"admin",2020-07-23 13:04:17
46,"user",2020-07-21 15:12:49
46,"user",2020-07-21 15:12:54
46,"user",2020-07-21 15:13:09
46,"admin",2020-07-21 15:41:01
46,"user",2020-07-21 16:28:09
46,"admin",2020-07-21 17:09:22
46,"admin",2020-07-21 17:09:28
46,"admin",2020-07-21 17:12:26
46,"admin",2020-07-21 17:15:32
46,"admin",2020-07-21 17:54:49
46,"admin",2020-07-21 19:18:44
46,"user",2020-07-22 09:42:54
46,"admin",2020-07-22 09:42:54
46,"admin",2020-07-22 09:43:28
46,"admin",2020-07-22 13:57:55
46,"admin",2020-07-22 14:15:33
46,"admin",2020-07-23 13:06:28
46,"admin",2020-07-24 13:05:24
47,"user",2020-07-21 15:28:51
47,"admin",2020-07-21 15:53:52
47,"admin",2020-07-21 15:53:58
47,"user",2020-07-21 16:08:00
47,"admin",2020-07-21 16:11:44
47,"admin",2020-07-21 16:11:47
47,"user",2020-07-21 16:41:12
47,"admin",2020-07-21 16:50:27
47,"user",2020-07-21 16:56:51
47,"admin",2020-07-21 17:01:05
47,"admin",2020-07-21 17:01:07
48,"user",2020-07-21 15:33:39
48,"admin",2020-07-21 15:34:30
48,"user",2020-07-21 15:34:52
48,"admin",2020-07-21 15:49:28
48,"admin",2020-07-21 15:49:30
49,"user",2020-07-21 15:35:56
49,"user",2020-07-21 15:36:08
49,"user",2020-07-21 16:19:43
49,"user",2020-07-21 16:51:26
49,"user",2020-07-21 19:00:20
49,"user",2020-07-22 03:56:52
49,"admin",2020-07-22 08:59:18
49,"admin",2020-07-22 08:59:47
49,"user",2020-07-22 10:03:11
49,"user",2020-07-22 10:03:18
49,"user",2020-07-22 10:03:21
49,"admin",2020-07-22 14:14:08
49,"admin",2020-07-22 14:14:14
49,"admin",2020-07-22 14:46:46
49,"user",2020-07-22 14:47:24
49,"user",2020-07-22 14:47:30
49,"user",2020-07-22 14:47:51
49,"admin",2020-07-22 14:48:47
49,"user",2020-07-22 14:49:29
49,"user",2020-07-22 14:49:37
49,"user",2020-07-22 14:49:44
49,"user",2020-07-22 14:50:04
49,"user",2020-07-22 14:50:15
49,"user",2020-07-22 14:50:21
49,"admin",2020-07-22 14:57:07
49,"admin",2020-07-22 14:58:55
49,"admin",2020-07-22 15:00:05
49,"admin",2020-07-22 15:00:39
49,"admin",2020-07-22 15:01:13
49,"user",2020-07-22 15:01:29
49,"admin",2020-07-22 15:01:36
49,"user",2020-07-22 15:02:08
